id,"ctime","turbo_id","pair","direction","contract","return","strategy",timeleft
24251,"2017-06-23 07:01:26","X9pXw4PymSWw2HWCS","USD-CAD","long","1min","75000","cci:cmo:mfi:stochs",6
24252,"2017-06-23 07:01:27","CijBTh4mXKrvKhBiM","USD-CAD","long","1min","75000","atr:cmo:mfi:stochs",6
24253,"2017-06-23 07:01:29","9PnqhAhzDPvMH534R","USD-CAD","long","1min","75000","cci:cmo:stochs",6
24254,"2017-06-23 07:01:30","LrrivW3dTjXc2XCqe","USD-CAD","long","1min","75000","atr:cci:cmo:stochs",6
24255,"2017-06-23 07:01:31","fB5GBCNuxBgy8xHeS","USD-CAD","long","1min","75000","atr:cmo:stochs",6
24256,"2017-06-23 07:01:33","77sFSH9mHzuw47Jpc","USD-CAD","long","1min","75000","cmo:rsi",6
24257,"2017-06-23 07:01:34","CWWbyRQfWYTRd2T6p","USD-CAD","long","1min","75000","cmo:mfi:rsi",6
24258,"2017-06-23 07:01:36","6hxkuHdjEhCEzpQR2","USD-CAD","long","1min","75000","cci:cmo:mfi:rsi",6
24259,"2017-06-23 07:01:37","3taZGLR5ir9PaaJk9","USD-CAD","long","1min","75000","atr:cmo:mfi:rsi",6
24260,"2017-06-23 07:01:38","S6GKTFBGqhZ5sY6Q5","USD-CAD","long","1min","75000","cci:cmo:rsi",6
24261,"2017-06-23 07:01:40","SJxmHB4owW6X5qjGz","USD-CAD","long","1min","75000","atr:cci:cmo:rsi",6
24262,"2017-06-23 07:01:41","QJHbFYYeyszRz7zZ6","USD-CAD","long","1min","75000","atr:cmo:rsi",6
24263,"2017-06-23 07:01:43","jKWsw434RjfqMRNFk","USD-CAD","long","1min","75000","cmo:mfi",6
24264,"2017-06-23 07:01:44","SAPdLEAiD23BfHbYM","USD-CAD","long","1min","75000","cci:cmo:mfi",6
24265,"2017-06-23 07:01:45","XFct7HeG8ytbXCdbr","USD-CAD","long","1min","-100000","atr:cci:cmo:mfi",6
24266,"2017-06-23 07:01:47","ti8egkPxRLCT3tdGy","USD-CAD","long","1min","-100000","atr:cmo:mfi",6
24267,"2017-06-23 07:01:48","xMHwnEPiYvqZapQs5","USD-CAD","long","1min","75000","cci:cmo",6
24268,"2017-06-23 07:01:49","Ci6HpdTWJhgvZAkgW","USD-CAD","long","1min","-100000","atr:cci:cmo",6
24269,"2017-06-23 07:01:51","nE5PR57TSpeYk4L4e","USD-CAD","long","1min","-100000","atr:cmo",6
24270,"2017-06-23 07:01:52","uLpifeEJEcxaDNTJW","USD-MXN","long","1min","55000","bullish:cci:mfi",6
24271,"2017-06-23 07:01:54","r3nqE2zhbTZtkcJ4R","USD-MXN","long","1min","55000","bullish:cci",6
24272,"2017-06-23 07:02:00","P3uEkMsb7wsQjDWck","NZD-USD","long","1min","-100000","cci:stochs",1
24273,"2017-06-23 07:02:02","mQReao2XYK9mWDJcG","NZD-USD","long","1min","-100000","cci:mfi:stochs",1
24274,"2017-06-23 07:02:03","XPGNPmFeZELQSZRpA","NZD-USD","long","1min","-100000","cci:mfi",1
24275,"2017-06-23 07:02:04","Bx4tPvug86eCCkAeg","NZD-USD","long","1min","-100000","mfi:stochs",1
24276,"2017-06-23 07:02:06","ZYNTBB4huCsMz5mZC","USD-CNH","long","1min","-100000","atr:cci:mfi",1
24277,"2017-06-23 07:02:07","CuDD4bgLKDMq94Fbz","USD-CNH","long","1min","-100000","atr:bearish:cci:mfi",1
24278,"2017-06-23 07:02:09","aYFwN8kmbJYE5bg2x","USD-CNH","long","1min","-100000","bearish:cci:mfi",1
24279,"2017-06-23 07:02:10","y98YEPzQNaXoAwE8k","USD-CNH","long","1min","-100000","atr:cci",1
24280,"2017-06-23 07:02:11","hhKZzbkeScQDgRWjD","USD-CNH","long","1min","-100000","atr:bearish:cci",1
24281,"2017-06-23 07:02:13","YBC4sNWdX5WWeE3fc","USD-CNH","long","1min","-100000","bearish:cci",1
24282,"2017-06-23 07:02:25","vR5Wm229PJiSSKAhB","NZD-USD","long","1min","-100000","atr:bearish:cci",37
24283,"2017-06-23 07:02:31","HecA4DycFKnrucE65","NZD-USD","long","1min","-100000","bearish:cci",37
24284,"2017-06-23 07:02:33","Y22jHk2fcHwM9aoD3","NZD-USD","long","1min","-100000","bearish:cci:mfi",37
24285,"2017-06-23 07:02:34","DdeWJ9ZQvbbSNPSij","NZD-USD","long","1min","-100000","bearish:cci:mfi:stochs",37
24286,"2017-06-23 07:02:35","Te6iiiiwM9Sncgdfq","NZD-USD","long","1min","-100000","bearish:cci:stochs",37
24287,"2017-06-23 07:02:37","GN9r4PwvTd7HxXBdk","NZD-USD","long","1min","-100000","bearish:mfi:stochs",37
24288,"2017-06-23 07:02:38","sFp6rxdiT8djvtC3T","NZD-USD","long","1min","-100000","bearish:stochs",37
24289,"2017-06-23 07:02:40","8vwayXxjz9MN2chtA","NZD-USD","long","1min","-100000","atr:cci",37
24290,"2017-06-23 07:02:41","othBLD7NWGCkuCcEf","NZD-USD","long","1min","-100000","atr:cci:mfi",37
24291,"2017-06-23 07:02:42","moS6HzDr2JGH76rb2","NZD-USD","long","1min","-100000","atr:cci:mfi:stochs",37
